k,sammon,aco_mean_sammon,gwo_mean_sammon,rsa_mean_sammon,kruskal,aco_mean_kruskal,gwo_mean_kruskal,rsa_mean_kruskal
1,0.991,0.246,0.248,0.248,0.561,0.221,0.221,0.229
3,<0.001,0.139,0.074,0.085,<0.001,0.134,0.044,0.072
5,<0.001,0.043,0.024,0.047,<0.001,0.065,0.011,0.035
7,<0.001,0.037,0.014,0.030,<0.001,0.022,0.006,0.019
9,<0.001,0.032,0.007,0.018,<0.001,0.021,0.003,0.009
11,<0.001,0.013,0.004,0.012,<0.001,0.019,0.002,0.004
13,<0.001,0.012,0.003,0.007,<0.001,0.016,0.001,0.002
15,<0.001,0.007,0.002,0.005,<0.001,0.005,0.001,0.001
17,<0.001,0.006,0.001,0.002,<0.001,0.003,0.000,0.001
19,<0.001,0.005,0.001,0.002,<0.001,0.001,0.000,0.001
21,<0.001,0.003,0.001,0.001,<0.001,0.001,0.000,0.000
23,<0.001,0.001,0.000,0.001,<0.001,0.000,0.000,0.000
25,<0.001,0.001,0.000,0.001,<0.001,0.000,0.000,0.000
27,<0.001,0.000,0.000,0.000,<0.001,0.000,0.000,0.000
29,<0.001,0.000,0.000,0.000,<0.001,0.000,0.000,0.000
31,<0.001,0.000,0.000,0.000,<0.001,0.000,0.000,0.000
33,<0.001,0.000,0.000,0.000,<0.001,0.000,0.000,0.000
35,<0.001,0.000,0.000,0.000,<0.001,0.000,0.000,0.000
37,<0.001,0.000,0.000,0.000,<0.001,0.000,0.000,0.000
39,0.003,0.000,0.000,0.000,<0.001,0.000,0.000,0.000
